TEWHERE,where_cat
-3,Refused
-2,Don't know
-1,Blank
1,Respondent's home or yard
2,Respondent's workplace
3,Someone else's home
4,Restaurant or bar
5,Place of worship
6,Grocery store
7,Other store/mall
8,School
9,Outdoors away from home
10,Library
11,Other place
12,"Car, truck, or motorcycle (driver)"
13,"Car, truck, or motorcycle (passenger)"
14,Walking
15,Bus
16,Subway/train
17,Bicycle
18,Boat/ferry
19,Taxi/limousine service
20,Airplane
21,Other mode of transportation
30,Bank
31,Gym/health club
32,Post Office
89,Unspecified place
99,Unspecified mode of transportation
