poi_type,key,inc_quart,atus_time_spent,time
Food & Coffee,0,Q1,0.074127386,0:00
Food & Coffee,1,Q1,0.081253951,1:00
Food & Coffee,2,Q1,0.057370444,2:00
Food & Coffee,3,Q1,0.013765582,3:00
Food & Coffee,4,Q1,0,4:00
Food & Coffee,5,Q1,0,5:00
Food & Coffee,6,Q1,0.056011436,6:00
Food & Coffee,7,Q1,0.117621285,7:00
Food & Coffee,8,Q1,0.236829966,8:00
Food & Coffee,9,Q1,0.390903096,9:00
Food & Coffee,10,Q1,0.515307328,10:00
Food & Coffee,11,Q1,0.571856464,11:00
Food & Coffee,12,Q1,1.190058276,12:00
Food & Coffee,13,Q1,1.00781383,13:00
Food & Coffee,14,Q1,0.934251383,14:00
Food & Coffee,15,Q1,0.726097516,15:00
Food & Coffee,16,Q1,0.87097226,16:00
Food & Coffee,17,Q1,1.006554151,17:00
Food & Coffee,18,Q1,1.722836489,18:00
Food & Coffee,19,Q1,1.784249619,19:00
Food & Coffee,20,Q1,1.36890505,20:00
Food & Coffee,21,Q1,0.539522968,21:00
Food & Coffee,22,Q1,0.359134248,22:00
Food & Coffee,23,Q1,0.317246977,23:00
Food & Coffee,0,Q2,0.004091683,0:00
Food & Coffee,1,Q2,0,1:00
Food & Coffee,2,Q2,0,2:00
Food & Coffee,3,Q2,0,3:00
Food & Coffee,4,Q2,0.032308587,4:00
Food & Coffee,5,Q2,0.01310159,5:00
Food & Coffee,6,Q2,0.120557626,6:00
Food & Coffee,7,Q2,0.279854851,7:00
Food & Coffee,8,Q2,0.298327604,8:00
Food & Coffee,9,Q2,0.452109487,9:00
Food & Coffee,10,Q2,0.875961309,10:00
Food & Coffee,11,Q2,1.326202859,11:00
Food & Coffee,12,Q2,1.14304032,12:00
Food & Coffee,13,Q2,1.048229041,13:00
Food & Coffee,14,Q2,1.236999778,14:00
Food & Coffee,15,Q2,0.812519878,15:00
Food & Coffee,16,Q2,1.015722221,16:00
Food & Coffee,17,Q2,1.447576098,17:00
Food & Coffee,18,Q2,2.443951691,18:00
Food & Coffee,19,Q2,2.971550374,19:00
Food & Coffee,20,Q2,1.619427998,20:00
Food & Coffee,21,Q2,0.557566252,21:00
Food & Coffee,22,Q2,0.362640434,22:00
Food & Coffee,23,Q2,0.114304628,23:00
Food & Coffee,0,Q3,0.189367029,0:00
Food & Coffee,1,Q3,0.175825607,1:00
Food & Coffee,2,Q3,0.121205694,2:00
Food & Coffee,3,Q3,0.036126455,3:00
Food & Coffee,4,Q3,0,4:00
Food & Coffee,5,Q3,0,5:00
Food & Coffee,6,Q3,0.181143658,6:00
Food & Coffee,7,Q3,0.426461914,7:00
Food & Coffee,8,Q3,0.168852985,8:00
Food & Coffee,9,Q3,0.53309227,9:00
Food & Coffee,10,Q3,0.445708591,10:00
Food & Coffee,11,Q3,0.750421924,11:00
Food & Coffee,12,Q3,1.936448161,12:00
Food & Coffee,13,Q3,2.298579008,13:00
Food & Coffee,14,Q3,1.473513911,14:00
Food & Coffee,15,Q3,0.891729704,15:00
Food & Coffee,16,Q3,0.809521569,16:00
Food & Coffee,17,Q3,1.141196057,17:00
Food & Coffee,18,Q3,4.058215438,18:00
Food & Coffee,19,Q3,2.881143784,19:00
Food & Coffee,20,Q3,2.042182567,20:00
Food & Coffee,21,Q3,1.308101084,21:00
Food & Coffee,22,Q3,0.379031527,22:00
Food & Coffee,23,Q3,0.223020509,23:00
Food & Coffee,0,Q4,0.298959102,0:00
Food & Coffee,1,Q4,0.159232719,1:00
Food & Coffee,2,Q4,0,2:00
Food & Coffee,3,Q4,0,3:00
Food & Coffee,4,Q4,0,4:00
Food & Coffee,5,Q4,0.02790917,5:00
Food & Coffee,6,Q4,0.067702822,6:00
Food & Coffee,7,Q4,0.184789521,7:00
Food & Coffee,8,Q4,0.185612678,8:00
Food & Coffee,9,Q4,0.883874038,9:00
Food & Coffee,10,Q4,0.595740656,10:00
Food & Coffee,11,Q4,1.212766331,11:00
Food & Coffee,12,Q4,2.921534111,12:00
Food & Coffee,13,Q4,2.422536724,13:00
Food & Coffee,14,Q4,0.967952642,14:00
Food & Coffee,15,Q4,0.602284645,15:00
Food & Coffee,16,Q4,1.12389617,16:00
Food & Coffee,17,Q4,1.466902979,17:00
Food & Coffee,18,Q4,2.950454386,18:00
Food & Coffee,19,Q4,4.243732102,19:00
Food & Coffee,20,Q4,3.206600351,20:00
Food & Coffee,21,Q4,1.318737988,21:00
Food & Coffee,22,Q4,0.888367489,22:00
Food & Coffee,23,Q4,0.33411807,23:00
Grocery,0,Q1,0,0:00
Grocery,1,Q1,0,1:00
Grocery,2,Q1,0,2:00
Grocery,3,Q1,0,3:00
Grocery,4,Q1,0,4:00
Grocery,5,Q1,0.00155885,5:00
Grocery,6,Q1,0.097384544,6:00
Grocery,7,Q1,0.1525942,7:00
Grocery,8,Q1,0.265634313,8:00
Grocery,9,Q1,0.27279565,9:00
Grocery,10,Q1,0.540818472,10:00
Grocery,11,Q1,0.687276034,11:00
Grocery,12,Q1,0.544406563,12:00
Grocery,13,Q1,0.845047775,13:00
Grocery,14,Q1,0.612603929,14:00
Grocery,15,Q1,0.509749592,15:00
Grocery,16,Q1,0.526459928,16:00
Grocery,17,Q1,0.409456707,17:00
Grocery,18,Q1,0.255378497,18:00
Grocery,19,Q1,0.087708154,19:00
Grocery,20,Q1,0.116069136,20:00
Grocery,21,Q1,0.04390928,21:00
Grocery,22,Q1,0.00691754,22:00
Grocery,23,Q1,0,23:00
Grocery,0,Q2,0,0:00
Grocery,1,Q2,0,1:00
Grocery,2,Q2,0,2:00
Grocery,3,Q2,0,3:00
Grocery,4,Q2,0,4:00
Grocery,5,Q2,0,5:00
Grocery,6,Q2,0,6:00
Grocery,7,Q2,0.175006715,7:00
Grocery,8,Q2,0.277182234,8:00
Grocery,9,Q2,0.711368151,9:00
Grocery,10,Q2,0.612810039,10:00
Grocery,11,Q2,0.318649873,11:00
Grocery,12,Q2,0.714730194,12:00
Grocery,13,Q2,0.595616143,13:00
Grocery,14,Q2,0.42644866,14:00
Grocery,15,Q2,0.370045679,15:00
Grocery,16,Q2,0.781331849,16:00
Grocery,17,Q2,0.552511225,17:00
Grocery,18,Q2,0.844323125,18:00
Grocery,19,Q2,0.505881603,19:00
Grocery,20,Q2,0.721265078,20:00
Grocery,21,Q2,0.108935363,21:00
Grocery,22,Q2,0.068910401,22:00
Grocery,23,Q2,0,23:00
Grocery,0,Q3,0,0:00
Grocery,1,Q3,0,1:00
Grocery,2,Q3,0,2:00
Grocery,3,Q3,0,3:00
Grocery,4,Q3,0,4:00
Grocery,5,Q3,0,5:00
Grocery,6,Q3,0,6:00
Grocery,7,Q3,0.08209768,7:00
Grocery,8,Q3,0.21841212,8:00
Grocery,9,Q3,0.285703272,9:00
Grocery,10,Q3,0.620300278,10:00
Grocery,11,Q3,0.688132659,11:00
Grocery,12,Q3,0.383306167,12:00
Grocery,13,Q3,0.636849095,13:00
Grocery,14,Q3,0.230409442,14:00
Grocery,15,Q3,0.399221012,15:00
Grocery,16,Q3,0.138822211,16:00
Grocery,17,Q3,0.458463328,17:00
Grocery,18,Q3,0.285061419,18:00
Grocery,19,Q3,0.214019901,19:00
Grocery,20,Q3,0.287211456,20:00
Grocery,21,Q3,0.011536128,21:00
Grocery,22,Q3,0,22:00
Grocery,23,Q3,0.013656212,23:00
Grocery,0,Q4,0,0:00
Grocery,1,Q4,0,1:00
Grocery,2,Q4,0,2:00
Grocery,3,Q4,0,3:00
Grocery,4,Q4,0,4:00
Grocery,5,Q4,0.006428355,5:00
Grocery,6,Q4,0.010341267,6:00
Grocery,7,Q4,0.031348379,7:00
Grocery,8,Q4,0.186413702,8:00
Grocery,9,Q4,0.362199829,9:00
Grocery,10,Q4,0.645136838,10:00
Grocery,11,Q4,0.88265297,11:00
Grocery,12,Q4,1.136068545,12:00
Grocery,13,Q4,0.559592068,13:00
Grocery,14,Q4,0.398728946,14:00
Grocery,15,Q4,0.570981046,15:00
Grocery,16,Q4,0.59883148,16:00
Grocery,17,Q4,0.502484598,17:00
Grocery,18,Q4,0.582030759,18:00
Grocery,19,Q4,0.177685411,19:00
Grocery,20,Q4,0.104616991,20:00
Grocery,21,Q4,0.060474112,21:00
Grocery,22,Q4,0,22:00
Grocery,23,Q4,0,23:00
Gym,0,Q1,0,0:00
Gym,1,Q1,0,1:00
Gym,2,Q1,0,2:00
Gym,3,Q1,0,3:00
Gym,4,Q1,0.068332104,4:00
Gym,5,Q1,0.175826036,5:00
Gym,6,Q1,0.040463408,6:00
Gym,7,Q1,0.084668554,7:00
Gym,8,Q1,0.353894471,8:00
Gym,9,Q1,0.228426411,9:00
Gym,10,Q1,0.155179977,10:00
Gym,11,Q1,0.182711158,11:00
Gym,12,Q1,0.087787465,12:00
Gym,13,Q1,0.158547412,13:00
Gym,14,Q1,0,14:00
Gym,15,Q1,0.084032178,15:00
Gym,16,Q1,0.145380312,16:00
Gym,17,Q1,0.510167237,17:00
Gym,18,Q1,0.609991564,18:00
Gym,19,Q1,0.461682006,19:00
Gym,20,Q1,0.373325978,20:00
Gym,21,Q1,0,21:00
Gym,22,Q1,0,22:00
Gym,23,Q1,0.163270007,23:00
Gym,0,Q2,0,0:00
Gym,1,Q2,0,1:00
Gym,2,Q2,0,2:00
Gym,3,Q2,0,3:00
Gym,4,Q2,0.035235196,4:00
Gym,5,Q2,0.05963362,5:00
Gym,6,Q2,0.040114881,6:00
Gym,7,Q2,0.058609722,7:00
Gym,8,Q2,0.350445061,8:00
Gym,9,Q2,1.058028703,9:00
Gym,10,Q2,0.191481831,10:00
Gym,11,Q2,1.336549563,11:00
Gym,12,Q2,0.816319214,12:00
Gym,13,Q2,0.213057425,13:00
Gym,14,Q2,0,14:00
Gym,15,Q2,0.091771903,15:00
Gym,16,Q2,0.683706067,16:00
Gym,17,Q2,1.029181432,17:00
Gym,18,Q2,0.725743847,18:00
Gym,19,Q2,0.275610739,19:00
Gym,20,Q2,0,20:00
Gym,21,Q2,0,21:00
Gym,22,Q2,0,22:00
Gym,23,Q2,0,23:00
Gym,0,Q3,0,0:00
Gym,1,Q3,0,1:00
Gym,2,Q3,0,2:00
Gym,3,Q3,0,3:00
Gym,4,Q3,0,4:00
Gym,5,Q3,0.048996442,5:00
Gym,6,Q3,0.28125613,6:00
Gym,7,Q3,0.410902014,7:00
Gym,8,Q3,0.853996216,8:00
Gym,9,Q3,0.3512242,9:00
Gym,10,Q3,0.204184268,10:00
Gym,11,Q3,0.26267776,11:00
Gym,12,Q3,0.036126455,12:00
Gym,13,Q3,0,13:00
Gym,14,Q3,0.04709655,14:00
Gym,15,Q3,0.359327465,15:00
Gym,16,Q3,0.299394436,16:00
Gym,17,Q3,0.014555498,17:00
Gym,18,Q3,1.212313584,18:00
Gym,19,Q3,0.517264343,19:00
Gym,20,Q3,0.332163425,20:00
Gym,21,Q3,0.161688417,21:00
Gym,22,Q3,0,22:00
Gym,23,Q3,0,23:00
Gym,0,Q4,0,0:00
Gym,1,Q4,0,1:00
Gym,2,Q4,0,2:00
Gym,3,Q4,0,3:00
Gym,4,Q4,0,4:00
Gym,5,Q4,0.045506667,5:00
Gym,6,Q4,0.200349542,6:00
Gym,7,Q4,0.118792761,7:00
Gym,8,Q4,0.394462623,8:00
Gym,9,Q4,0.530264499,9:00
Gym,10,Q4,0.548748911,10:00
Gym,11,Q4,0.495660632,11:00
Gym,12,Q4,0.463664551,12:00
Gym,13,Q4,0.114822419,13:00
Gym,14,Q4,0.047214353,14:00
Gym,15,Q4,0.02246285,15:00
Gym,16,Q4,0.319551141,16:00
Gym,17,Q4,0.633345009,17:00
Gym,18,Q4,0.834001526,18:00
Gym,19,Q4,0.449753391,19:00
Gym,20,Q4,0.339901629,20:00
Gym,21,Q4,0.052148048,21:00
Gym,22,Q4,0,22:00
Gym,23,Q4,0,23:00
