poi_type,key,inc_quart,md_time_spent,time
Food & Coffee,0,Q1,0.75675741,0:00
Food & Coffee,1,Q1,0.431034346,1:00
Food & Coffee,2,Q1,0.2205722,2:00
Food & Coffee,3,Q1,0.143788271,3:00
Food & Coffee,4,Q1,0.13221138,4:00
Food & Coffee,5,Q1,0.208749632,5:00
Food & Coffee,6,Q1,0.47299749,6:00
Food & Coffee,7,Q1,0.705392628,7:00
Food & Coffee,8,Q1,1.025748183,8:00
Food & Coffee,9,Q1,1.256099341,9:00
Food & Coffee,10,Q1,1.343507061,10:00
Food & Coffee,11,Q1,1.597192594,11:00
Food & Coffee,12,Q1,1.95732157,12:00
Food & Coffee,13,Q1,1.85598083,13:00
Food & Coffee,14,Q1,1.674269055,14:00
Food & Coffee,15,Q1,1.558871323,15:00
Food & Coffee,16,Q1,1.576787613,16:00
Food & Coffee,17,Q1,1.770636018,17:00
Food & Coffee,18,Q1,2.079367469,18:00
Food & Coffee,19,Q1,2.096914245,19:00
Food & Coffee,20,Q1,1.957267163,20:00
Food & Coffee,21,Q1,1.651579607,21:00
Food & Coffee,22,Q1,1.265912298,22:00
Food & Coffee,23,Q1,0.959874366,23:00
Food & Coffee,0,Q2,0.768152842,0:00
Food & Coffee,1,Q2,0.345261342,1:00
Food & Coffee,2,Q2,0.121267136,2:00
Food & Coffee,3,Q2,0.096783143,3:00
Food & Coffee,4,Q2,0.131726624,4:00
Food & Coffee,5,Q2,0.245011775,5:00
Food & Coffee,6,Q2,0.365765005,6:00
Food & Coffee,7,Q2,0.693441922,7:00
Food & Coffee,8,Q2,0.988172399,8:00
Food & Coffee,9,Q2,1.194294832,9:00
Food & Coffee,10,Q2,1.288694688,10:00
Food & Coffee,11,Q2,1.55018487,11:00
Food & Coffee,12,Q2,2.066332336,12:00
Food & Coffee,13,Q2,1.960028496,13:00
Food & Coffee,14,Q2,1.763055799,14:00
Food & Coffee,15,Q2,1.696923773,15:00
Food & Coffee,16,Q2,1.834934893,16:00
Food & Coffee,17,Q2,2.236015343,17:00
Food & Coffee,18,Q2,2.642504334,18:00
Food & Coffee,19,Q2,2.814926071,19:00
Food & Coffee,20,Q2,2.626637774,20:00
Food & Coffee,21,Q2,2.257148599,21:00
Food & Coffee,22,Q2,1.709732978,22:00
Food & Coffee,23,Q2,1.163186639,23:00
Food & Coffee,0,Q3,0.930821423,0:00
Food & Coffee,1,Q3,0.47536837,1:00
Food & Coffee,2,Q3,0.235987742,2:00
Food & Coffee,3,Q3,0.114943422,3:00
Food & Coffee,4,Q3,0.148447116,4:00
Food & Coffee,5,Q3,0.206817442,5:00
Food & Coffee,6,Q3,0.439780508,6:00
Food & Coffee,7,Q3,0.716706007,7:00
Food & Coffee,8,Q3,0.940255297,8:00
Food & Coffee,9,Q3,1.188364484,9:00
Food & Coffee,10,Q3,1.358622391,10:00
Food & Coffee,11,Q3,1.629248246,11:00
Food & Coffee,12,Q3,2.243852001,12:00
Food & Coffee,13,Q3,2.131920401,13:00
Food & Coffee,14,Q3,1.913183836,14:00
Food & Coffee,15,Q3,1.797698704,15:00
Food & Coffee,16,Q3,1.920973526,16:00
Food & Coffee,17,Q3,2.518005067,17:00
Food & Coffee,18,Q3,3.13838148,18:00
Food & Coffee,19,Q3,3.264966665,19:00
Food & Coffee,20,Q3,3.088637686,20:00
Food & Coffee,21,Q3,2.558369694,21:00
Food & Coffee,22,Q3,1.898838944,22:00
Food & Coffee,23,Q3,1.368476786,23:00
Food & Coffee,0,Q4,0.798227875,0:00
Food & Coffee,1,Q4,0.467594262,1:00
Food & Coffee,2,Q4,0.235373503,2:00
Food & Coffee,3,Q4,0.136553994,3:00
Food & Coffee,4,Q4,0.137000003,4:00
Food & Coffee,5,Q4,0.191654721,5:00
Food & Coffee,6,Q4,0.414046867,6:00
Food & Coffee,7,Q4,0.811816082,7:00
Food & Coffee,8,Q4,1.140224134,8:00
Food & Coffee,9,Q4,1.353281065,9:00
Food & Coffee,10,Q4,1.364162554,10:00
Food & Coffee,11,Q4,1.633478708,11:00
Food & Coffee,12,Q4,2.34393068,12:00
Food & Coffee,13,Q4,2.187522759,13:00
Food & Coffee,14,Q4,1.880593126,14:00
Food & Coffee,15,Q4,1.74156107,15:00
Food & Coffee,16,Q4,1.865768323,16:00
Food & Coffee,17,Q4,2.43468798,17:00
Food & Coffee,18,Q4,3.246944514,18:00
Food & Coffee,19,Q4,3.44828192,19:00
Food & Coffee,20,Q4,3.129881042,20:00
Food & Coffee,21,Q4,2.412293098,21:00
Food & Coffee,22,Q4,1.723187932,22:00
Food & Coffee,23,Q4,1.189801937,23:00
Grocery,0,Q1,0.041289876,0:00
Grocery,1,Q1,0.02792273,1:00
Grocery,2,Q1,0.020474752,2:00
Grocery,3,Q1,0.023265281,3:00
Grocery,4,Q1,0.024326757,4:00
Grocery,5,Q1,0.036964362,5:00
Grocery,6,Q1,0.069445369,6:00
Grocery,7,Q1,0.111457412,7:00
Grocery,8,Q1,0.129870462,8:00
Grocery,9,Q1,0.145489803,9:00
Grocery,10,Q1,0.161815159,10:00
Grocery,11,Q1,0.189681108,11:00
Grocery,12,Q1,0.201958664,12:00
Grocery,13,Q1,0.203185865,13:00
Grocery,14,Q1,0.194133638,14:00
Grocery,15,Q1,0.189137271,15:00
Grocery,16,Q1,0.190474755,16:00
Grocery,17,Q1,0.199481375,17:00
Grocery,18,Q1,0.201460316,18:00
Grocery,19,Q1,0.172943336,19:00
Grocery,20,Q1,0.156158584,20:00
Grocery,21,Q1,0.132242117,21:00
Grocery,22,Q1,0.099772663,22:00
Grocery,23,Q1,0.062997286,23:00
Grocery,0,Q2,0.031627456,0:00
Grocery,1,Q2,0.022616093,1:00
Grocery,2,Q2,0.035005484,2:00
Grocery,3,Q2,0.046062285,3:00
Grocery,4,Q2,0.02954794,4:00
Grocery,5,Q2,0.042446602,5:00
Grocery,6,Q2,0.066793689,6:00
Grocery,7,Q2,0.094906841,7:00
Grocery,8,Q2,0.12876709,8:00
Grocery,9,Q2,0.147387076,9:00
Grocery,10,Q2,0.172805403,10:00
Grocery,11,Q2,0.17589074,11:00
Grocery,12,Q2,0.196300114,12:00
Grocery,13,Q2,0.191411996,13:00
Grocery,14,Q2,0.195353473,14:00
Grocery,15,Q2,0.202735532,15:00
Grocery,16,Q2,0.230237983,16:00
Grocery,17,Q2,0.233324341,17:00
Grocery,18,Q2,0.219885191,18:00
Grocery,19,Q2,0.175903275,19:00
Grocery,20,Q2,0.158147539,20:00
Grocery,21,Q2,0.124652683,21:00
Grocery,22,Q2,0.099660511,22:00
Grocery,23,Q2,0.057870902,23:00
Grocery,0,Q3,0.037255868,0:00
Grocery,1,Q3,0.036969527,1:00
Grocery,2,Q3,0.018795801,2:00
Grocery,3,Q3,0.009470994,3:00
Grocery,4,Q3,0.012909845,4:00
Grocery,5,Q3,0.075086755,5:00
Grocery,6,Q3,0.067811134,6:00
Grocery,7,Q3,0.106639607,7:00
Grocery,8,Q3,0.155633321,8:00
Grocery,9,Q3,0.155762685,9:00
Grocery,10,Q3,0.169486779,10:00
Grocery,11,Q3,0.185003572,11:00
Grocery,12,Q3,0.219613735,12:00
Grocery,13,Q3,0.202692722,13:00
Grocery,14,Q3,0.18831085,14:00
Grocery,15,Q3,0.198356673,15:00
Grocery,16,Q3,0.216281884,16:00
Grocery,17,Q3,0.239187446,17:00
Grocery,18,Q3,0.243200762,18:00
Grocery,19,Q3,0.215580339,19:00
Grocery,20,Q3,0.197380213,20:00
Grocery,21,Q3,0.159251221,21:00
Grocery,22,Q3,0.090711678,22:00
Grocery,23,Q3,0.05793791,23:00
Grocery,0,Q4,0.061035626,0:00
Grocery,1,Q4,0.034927862,1:00
Grocery,2,Q4,0.023972405,2:00
Grocery,3,Q4,0.014217915,3:00
Grocery,4,Q4,0.012678561,4:00
Grocery,5,Q4,0.018793517,5:00
Grocery,6,Q4,0.047867424,6:00
Grocery,7,Q4,0.105437147,7:00
Grocery,8,Q4,0.13638726,8:00
Grocery,9,Q4,0.144723692,9:00
Grocery,10,Q4,0.171947213,10:00
Grocery,11,Q4,0.219112027,11:00
Grocery,12,Q4,0.256293767,12:00
Grocery,13,Q4,0.219474443,13:00
Grocery,14,Q4,0.205739106,14:00
Grocery,15,Q4,0.210784887,15:00
Grocery,16,Q4,0.222939085,16:00
Grocery,17,Q4,0.281265696,17:00
Grocery,18,Q4,0.296636235,18:00
Grocery,19,Q4,0.2627707,19:00
Grocery,20,Q4,0.22811768,20:00
Grocery,21,Q4,0.168294065,21:00
Grocery,22,Q4,0.14079065,22:00
Grocery,23,Q4,0.083227882,23:00
Gym,0,Q1,0.053917036,0:00
Gym,1,Q1,0.031300096,1:00
Gym,2,Q1,0.014545005,2:00
Gym,3,Q1,0.013657309,3:00
Gym,4,Q1,0.015309228,4:00
Gym,5,Q1,0.059812058,5:00
Gym,6,Q1,0.110416015,6:00
Gym,7,Q1,0.102757948,7:00
Gym,8,Q1,0.133115811,8:00
Gym,9,Q1,0.184188302,9:00
Gym,10,Q1,0.186590279,10:00
Gym,11,Q1,0.17815551,11:00
Gym,12,Q1,0.182387175,12:00
Gym,13,Q1,0.167208332,13:00
Gym,14,Q1,0.159854356,14:00
Gym,15,Q1,0.168487556,15:00
Gym,16,Q1,0.188854243,16:00
Gym,17,Q1,0.220123925,17:00
Gym,18,Q1,0.220544739,18:00
Gym,19,Q1,0.188875154,19:00
Gym,20,Q1,0.151894822,20:00
Gym,21,Q1,0.105361629,21:00
Gym,22,Q1,0.074798799,22:00
Gym,23,Q1,0.06920908,23:00
Gym,0,Q2,0.035429994,0:00
Gym,1,Q2,0.020939953,1:00
Gym,2,Q2,0.01765925,2:00
Gym,3,Q2,0.011698774,3:00
Gym,4,Q2,0.018419805,4:00
Gym,5,Q2,0.066076875,5:00
Gym,6,Q2,0.122908107,6:00
Gym,7,Q2,0.185241397,7:00
Gym,8,Q2,0.214461406,8:00
Gym,9,Q2,0.24817155,9:00
Gym,10,Q2,0.244407237,10:00
Gym,11,Q2,0.248208063,11:00
Gym,12,Q2,0.24422121,12:00
Gym,13,Q2,0.211235824,13:00
Gym,14,Q2,0.195248267,14:00
Gym,15,Q2,0.194393764,15:00
Gym,16,Q2,0.217485915,16:00
Gym,17,Q2,0.263088204,17:00
Gym,18,Q2,0.251774583,18:00
Gym,19,Q2,0.219299926,19:00
Gym,20,Q2,0.177943744,20:00
Gym,21,Q2,0.118583537,21:00
Gym,22,Q2,0.068790737,22:00
Gym,23,Q2,0.047477349,23:00
Gym,0,Q3,0.040323998,0:00
Gym,1,Q3,0.033468503,1:00
Gym,2,Q3,0.016428391,2:00
Gym,3,Q3,0.014098865,3:00
Gym,4,Q3,0.029682984,4:00
Gym,5,Q3,0.129704871,5:00
Gym,6,Q3,0.218453063,6:00
Gym,7,Q3,0.252903026,7:00
Gym,8,Q3,0.268261635,8:00
Gym,9,Q3,0.322982439,9:00
Gym,10,Q3,0.309180083,10:00
Gym,11,Q3,0.259314527,11:00
Gym,12,Q3,0.234159484,12:00
Gym,13,Q3,0.202588642,13:00
Gym,14,Q3,0.20146321,14:00
Gym,15,Q3,0.223068982,15:00
Gym,16,Q3,0.250170216,16:00
Gym,17,Q3,0.314821357,17:00
Gym,18,Q3,0.348190358,18:00
Gym,19,Q3,0.27023005,19:00
Gym,20,Q3,0.214268232,20:00
Gym,21,Q3,0.129612146,21:00
Gym,22,Q3,0.076052877,22:00
Gym,23,Q3,0.056049363,23:00
Gym,0,Q4,0.047748046,0:00
Gym,1,Q4,0.039678052,1:00
Gym,2,Q4,0.032762287,2:00
Gym,3,Q4,0.02050746,3:00
Gym,4,Q4,0.047097477,4:00
Gym,5,Q4,0.112043295,5:00
Gym,6,Q4,0.180397973,6:00
Gym,7,Q4,0.278117373,7:00
Gym,8,Q4,0.35380476,8:00
Gym,9,Q4,0.373036428,9:00
Gym,10,Q4,0.374445347,10:00
Gym,11,Q4,0.349813229,11:00
Gym,12,Q4,0.299458539,12:00
Gym,13,Q4,0.274009569,13:00
Gym,14,Q4,0.26008493,14:00
Gym,15,Q4,0.287756394,15:00
Gym,16,Q4,0.332200349,16:00
Gym,17,Q4,0.336429391,17:00
Gym,18,Q4,0.352461449,18:00
Gym,19,Q4,0.296727601,19:00
Gym,20,Q4,0.243023383,20:00
Gym,21,Q4,0.162052265,21:00
Gym,22,Q4,0.111800305,22:00
Gym,23,Q4,0.070685167,23:00
