poi_type,key,inc_quart,time,atusmd_ratio,inc_quart_label
Food & Coffee,0,Q1,0:00,0.097953961,Q1 (Low)
Food & Coffee,1,Q1,1:00,0.188509226,Q1 (Low)
Food & Coffee,2,Q1,2:00,0.260098256,Q1 (Low)
Food & Coffee,3,Q1,3:00,0.095735083,Q1 (Low)
Food & Coffee,4,Q1,4:00,0,Q1 (Low)
Food & Coffee,5,Q1,5:00,0,Q1 (Low)
Food & Coffee,6,Q1,6:00,0.11841804,Q1 (Low)
Food & Coffee,7,Q1,7:00,0.166745838,Q1 (Low)
Food & Coffee,8,Q1,8:00,0.230885094,Q1 (Low)
Food & Coffee,9,Q1,9:00,0.311203965,Q1 (Low)
Food & Coffee,10,Q1,10:00,0.383553866,Q1 (Low)
Food & Coffee,11,Q1,11:00,0.358038515,Q1 (Low)
Food & Coffee,12,Q1,12:00,0.608003454,Q1 (Low)
Food & Coffee,13,Q1,13:00,0.54300875,Q1 (Low)
Food & Coffee,14,Q1,14:00,0.558005525,Q1 (Low)
Food & Coffee,15,Q1,15:00,0.465784125,Q1 (Low)
Food & Coffee,16,Q1,16:00,0.552371323,Q1 (Low)
Food & Coffee,17,Q1,17:00,0.568470392,Q1 (Low)
Food & Coffee,18,Q1,18:00,0.828538734,Q1 (Low)
Food & Coffee,19,Q1,19:00,0.850892984,Q1 (Low)
Food & Coffee,20,Q1,20:00,0.699396115,Q1 (Low)
Food & Coffee,21,Q1,21:00,0.326670883,Q1 (Low)
Food & Coffee,22,Q1,22:00,0.283695995,Q1 (Low)
Food & Coffee,23,Q1,23:00,0.330508854,Q1 (Low)
Food & Coffee,0,Q2,0:00,0.005326653,Q2
Food & Coffee,1,Q2,1:00,0,Q2
Food & Coffee,2,Q2,2:00,0,Q2
Food & Coffee,3,Q2,3:00,0,Q2
Food & Coffee,4,Q2,4:00,0.245269986,Q2
Food & Coffee,5,Q2,5:00,0.053473307,Q2
Food & Coffee,6,Q2,6:00,0.329604048,Q2
Food & Coffee,7,Q2,7:00,0.403573597,Q2
Food & Coffee,8,Q2,8:00,0.301898337,Q2
Food & Coffee,9,Q2,9:00,0.378557685,Q2
Food & Coffee,10,Q2,10:00,0.67972757,Q2
Food & Coffee,11,Q2,11:00,0.85551271,Q2
Food & Coffee,12,Q2,12:00,0.553173514,Q2
Food & Coffee,13,Q2,13:00,0.53480296,Q2
Food & Coffee,14,Q2,14:00,0.701622591,Q2
Food & Coffee,15,Q2,15:00,0.478819315,Q2
Food & Coffee,16,Q2,16:00,0.553546736,Q2
Food & Coffee,17,Q2,17:00,0.64739095,Q2
Food & Coffee,18,Q2,18:00,0.924861943,Q2
Food & Coffee,19,Q2,19:00,1.055640645,Q2
Food & Coffee,20,Q2,20:00,0.616540284,Q2
Food & Coffee,21,Q2,21:00,0.247022395,Q2
Food & Coffee,22,Q2,22:00,0.21210355,Q2
Food & Coffee,23,Q2,23:00,0.098268519,Q2
Food & Coffee,0,Q3,0:00,0.203440772,Q3
Food & Coffee,1,Q3,1:00,0.369872329,Q3
Food & Coffee,2,Q3,2:00,0.513610128,Q3
Food & Coffee,3,Q3,3:00,0.314297712,Q3
