hour,time,poi_type,seg_label,seg,std_error_x2
6,6:00,Food & Coffee,Original,0.508522617,0.010602425
6,6:00,Food & Coffee,Re-weighted,0.531896767,0.010180995
7,7:00,Food & Coffee,Original,0.526387461,0.005895056
7,7:00,Food & Coffee,Re-weighted,0.547522159,0.005756242
8,8:00,Food & Coffee,Original,0.509711117,0.00418587
8,8:00,Food & Coffee,Re-weighted,0.519472808,0.004161829
9,9:00,Food & Coffee,Original,0.489012077,0.003512714
9,9:00,Food & Coffee,Re-weighted,0.500478836,0.003493883
10,10:00,Food & Coffee,Original,0.480235415,0.003080467
10,10:00,Food & Coffee,Re-weighted,0.492836091,0.003043169
11,11:00,Food & Coffee,Original,0.454293828,0.002483291
11,11:00,Food & Coffee,Re-weighted,0.47151174,0.002422003
12,12:00,Food & Coffee,Original,0.410785812,0.002279016
12,12:00,Food & Coffee,Re-weighted,0.434239993,0.002252384
13,13:00,Food & Coffee,Original,0.412973898,0.002286302
13,13:00,Food & Coffee,Re-weighted,0.439768234,0.002200864
14,14:00,Food & Coffee,Original,0.43191172,0.002359921
14,14:00,Food & Coffee,Re-weighted,0.438487959,0.00229904
15,15:00,Food & Coffee,Original,0.444208252,0.002429947
15,15:00,Food & Coffee,Re-weighted,0.450668735,0.002387472
16,16:00,Food & Coffee,Original,0.448911203,0.002469859
16,16:00,Food & Coffee,Re-weighted,0.451533736,0.002466448
17,17:00,Food & Coffee,Original,0.437712609,0.002442114
17,17:00,Food & Coffee,Re-weighted,0.440889272,0.002411877
18,18:00,Food & Coffee,Original,0.418659654,0.002422084
18,18:00,Food & Coffee,Re-weighted,0.431672972,0.002310783
19,19:00,Food & Coffee,Original,0.41198446,0.002487716
19,19:00,Food & Coffee,Re-weighted,0.417074917,0.002427426
20,20:00,Food & Coffee,Original,0.420514653,0.002628738
20,20:00,Food & Coffee,Re-weighted,0.427213786,0.002610135
21,21:00,Food & Coffee,Original,0.432345822,0.003029703
21,21:00,Food & Coffee,Re-weighted,0.454095064,0.002904498
22,22:00,Food & Coffee,Original,0.440447514,0.003771353
22,22:00,Food & Coffee,Re-weighted,0.457612758,0.003774117
23,23:00,Food & Coffee,Original,0.440119541,0.004834726
23,23:00,Food & Coffee,Re-weighted,0.482770438,0.004911125
7,7:00,Grocery,Original,0.572838747,0.015692111
7,7:00,Grocery,Re-weighted,0.607833426,0.014851722
8,8:00,Grocery,Original,0.5409433,0.00965049
8,8:00,Grocery,Re-weighted,0.543192447,0.00949477
9,9:00,Grocery,Original,0.510383884,0.007753125
9,9:00,Grocery,Re-weighted,0.538140228,0.007516709
10,10:00,Grocery,Original,0.491555863,0.00720514
10,10:00,Grocery,Re-weighted,0.48956538,0.007112035
11,11:00,Grocery,Original,0.474126085,0.006994908
11,11:00,Grocery,Re-weighted,0.501831853,0.007025859
12,12:00,Grocery,Original,0.460297742,0.006829916
12,12:00,Grocery,Re-weighted,0.491391274,0.006672807
13,13:00,Grocery,Original,0.454986589,0.006804609
13,13:00,Grocery,Re-weighted,0.463181244,0.006933607
14,14:00,Grocery,Original,0.462569648,0.006834196
14,14:00,Grocery,Re-weighted,0.492206213,0.0069849
15,15:00,Grocery,Original,0.461720169,0.006821066
15,15:00,Grocery,Re-weighted,0.47061349,0.006961633
16,16:00,Grocery,Original,0.461588677,0.006761509
16,16:00,Grocery,Re-weighted,0.531307778,0.006273902
17,17:00,Grocery,Original,0.460596697,0.006889971
17,17:00,Grocery,Re-weighted,0.459454853,0.006713124
18,18:00,Grocery,Original,0.461855791,0.006940289
18,18:00,Grocery,Re-weighted,0.506130211,0.006366163
19,19:00,Grocery,Original,0.477480756,0.007316392
19,19:00,Grocery,Re-weighted,0.54050305,0.006630971
20,20:00,Grocery,Original,0.496753589,0.007869252
20,20:00,Grocery,Re-weighted,0.592403039,0.007060632
21,21:00,Grocery,Original,0.516958138,0.00993528
21,21:00,Grocery,Re-weighted,0.600348713,0.009102478
6,6:00,Gym,Original,0.559929698,0.017667479
6,6:00,Gym,Re-weighted,0.613748906,0.016810371
7,7:00,Gym,Original,0.550880092,0.012325761
7,7:00,Gym,Re-weighted,0.611718511,0.012377267
8,8:00,Gym,Original,0.533514974,0.009564192
8,8:00,Gym,Re-weighted,0.54738727,0.009507667
9,9:00,Gym,Original,0.504952142,0.008595704
9,9:00,Gym,Re-weighted,0.554738487,0.008620607
10,10:00,Gym,Original,0.497587781,0.008453735
10,10:00,Gym,Re-weighted,0.523582329,0.008864351
11,11:00,Gym,Original,0.486753704,0.008401824
11,11:00,Gym,Re-weighted,0.574808328,0.008250171
12,12:00,Gym,Original,0.468969637,0.008288526
12,12:00,Gym,Re-weighted,0.643557891,0.007209772
13,13:00,Gym,Original,0.471254236,0.008285275
13,13:00,Gym,Re-weighted,0.634884343,0.007515151
15,15:00,Gym,Original,0.485700445,0.0085297
15,15:00,Gym,Re-weighted,0.620159734,0.00793844
16,16:00,Gym,Original,0.486266483,0.008566981
16,16:00,Gym,Re-weighted,0.532868134,0.008332712
17,17:00,Gym,Original,0.476485045,0.008332919
17,17:00,Gym,Re-weighted,0.629322781,0.007396716
18,18:00,Gym,Original,0.474255507,0.008553826
18,18:00,Gym,Re-weighted,0.477476796,0.008481078
19,19:00,Gym,Original,0.46933698,0.008966439
19,19:00,Gym,Re-weighted,0.484818381,0.009250643
