city,key,time,inc_quart,inc_quart_legend_label,atusmd_ratio,
Boston,0,0:00,Q1,Q1 (Low),0.097953961,
Boston,1,1:00,Q1,Q1 (Low),0.188509226,
Boston,2,2:00,Q1,Q1 (Low),0.260098256,
Boston,3,3:00,Q1,Q1 (Low),0.095735083,
Boston,4,4:00,Q1,Q1 (Low),0,
Boston,5,5:00,Q1,Q1 (Low),0,
Boston,6,6:00,Q1,Q1 (Low),0.11841804,
Boston,7,7:00,Q1,Q1 (Low),0.166745838,
Boston,8,8:00,Q1,Q1 (Low),0.230885094,
Boston,9,9:00,Q1,Q1 (Low),0.311203965,
Boston,10,10:00,Q1,Q1 (Low),0.383553866,
Boston,11,11:00,Q1,Q1 (Low),0.358038515,
Boston,12,12:00,Q1,Q1 (Low),0.608003454,
Boston,13,13:00,Q1,Q1 (Low),0.54300875,
Boston,14,14:00,Q1,Q1 (Low),0.558005525,
Boston,15,15:00,Q1,Q1 (Low),0.465784125,
Boston,16,16:00,Q1,Q1 (Low),0.552371323,
Boston,17,17:00,Q1,Q1 (Low),0.568470392,
Boston,18,18:00,Q1,Q1 (Low),0.828538734,
Boston,19,19:00,Q1,Q1 (Low),0.850892984,
Boston,20,20:00,Q1,Q1 (Low),0.699396115,
Boston,21,21:00,Q1,Q1 (Low),0.326670883,
Boston,22,22:00,Q1,Q1 (Low),0.283695995,
Boston,23,23:00,Q1,Q1 (Low),0.330508854,
Boston,0,0:00,Q2,Q2,0.005326653,
Boston,1,1:00,Q2,Q2,0,
Boston,2,2:00,Q2,Q2,0,
Boston,3,3:00,Q2,Q2,0,
Boston,4,4:00,Q2,Q2,0.245269986,
Boston,5,5:00,Q2,Q2,0.053473307,
Boston,6,6:00,Q2,Q2,0.329604048,
Boston,7,7:00,Q2,Q2,0.403573597,
Boston,8,8:00,Q2,Q2,0.301898337,
Boston,9,9:00,Q2,Q2,0.378557685,
Boston,10,10:00,Q2,Q2,0.67972757,
Boston,11,11:00,Q2,Q2,0.85551271,
Boston,12,12:00,Q2,Q2,0.553173514,
Boston,13,13:00,Q2,Q2,0.53480296,
Boston,14,14:00,Q2,Q2,0.701622591,
Boston,15,15:00,Q2,Q2,0.478819315,
Boston,16,16:00,Q2,Q2,0.553546736,
Boston,17,17:00,Q2,Q2,0.64739095,
Boston,18,18:00,Q2,Q2,0.924861943,
Boston,19,19:00,Q2,Q2,1.055640645,
Boston,20,20:00,Q2,Q2,0.616540284,
Boston,21,21:00,Q2,Q2,0.247022395,
Boston,22,22:00,Q2,Q2,0.21210355,
Boston,23,23:00,Q2,Q2,0.098268519,
Boston,0,0:00,Q3,Q3,0.203440772,
Boston,1,1:00,Q3,Q3,0.369872329,
Boston,2,2:00,Q3,Q3,0.513610128,
Boston,3,3:00,Q3,Q3,0.314297712,
Boston,4,4:00,Q3,Q3,0,
Boston,5,5:00,Q3,Q3,0,
Boston,6,6:00,Q3,Q3,0.411895605,
Boston,7,7:00,Q3,Q3,0.595030472,
Boston,8,8:00,Q3,Q3,0.179582062,
Boston,9,9:00,Q3,Q3,0.448593236,
Boston,10,10:00,Q3,Q3,0.328059212,
Boston,11,11:00,Q3,Q3,0.460593974,
Boston,12,12:00,Q3,Q3,0.863001731,
Boston,13,13:00,Q3,Q3,1.078172997,
Boston,14,14:00,Q3,Q3,0.7701894,
Boston,15,15:00,Q3,Q3,0.496039577,
Boston,16,16:00,Q3,Q3,0.421412142,
Boston,17,17:00,Q3,Q3,0.453214361,
Boston,18,18:00,Q3,Q3,1.293091826,
Boston,19,19:00,Q3,Q3,0.882442022,
Boston,20,20:00,Q3,Q3,0.661192012,
Boston,21,21:00,Q3,Q3,0.511302603,
Boston,22,22:00,Q3,Q3,0.199612257,
Boston,23,23:00,Q3,Q3,0.162969888,
Boston,0,0:00,Q4,Q4 (High),0.374528516,
Boston,1,1:00,Q4,Q4 (High),0.340536084,
Boston,2,2:00,Q4,Q4 (High),0,
Boston,3,3:00,Q4,Q4 (High),0,
Boston,4,4:00,Q4,Q4 (High),0,
Boston,5,5:00,Q4,Q4 (High),0.145622138,
Boston,6,6:00,Q4,Q4 (High),0.163514875,
Boston,7,7:00,Q4,Q4 (High),0.227624859,
Boston,8,8:00,Q4,Q4 (High),0.162786133,
Boston,9,9:00,Q4,Q4 (High),0.65313412,
Boston,10,10:00,Q4,Q4 (High),0.436707967,
