city,key,time,inc_quart,inc_quart_legend_label,atusmd_ratio
Boston,0,0:00,Q1,Q1 (Low),0
Boston,1,1:00,Q1,Q1 (Low),0
Boston,2,2:00,Q1,Q1 (Low),0
Boston,3,3:00,Q1,Q1 (Low),0
Boston,4,4:00,Q1,Q1 (Low),4.463458615
Boston,5,5:00,Q1,Q1 (Low),2.939641984
Boston,6,6:00,Q1,Q1 (Low),0.366463218
Boston,7,7:00,Q1,Q1 (Low),0.823961122
Boston,8,8:00,Q1,Q1 (Low),2.658545737
Boston,9,9:00,Q1,Q1 (Low),1.240178717
Boston,10,10:00,Q1,Q1 (Low),0.831661639
Boston,11,11:00,Q1,Q1 (Low),1.02557119
Boston,12,12:00,Q1,Q1 (Low),0.481324772
Boston,13,13:00,Q1,Q1 (Low),0.948202817
Boston,14,14:00,Q1,Q1 (Low),0
Boston,15,15:00,Q1,Q1 (Low),0.49874412
Boston,16,16:00,Q1,Q1 (Low),0.76980167
Boston,17,17:00,Q1,Q1 (Low),2.317636476
Boston,18,18:00,Q1,Q1 (Low),2.765840474
Boston,19,19:00,Q1,Q1 (Low),2.444376592
Boston,20,20:00,Q1,Q1 (Low),2.457792665
Boston,21,21:00,Q1,Q1 (Low),0
Boston,22,22:00,Q1,Q1 (Low),0
Boston,23,23:00,Q1,Q1 (Low),2.359083606
Boston,0,0:00,Q2,Q2,0
Boston,1,1:00,Q2,Q2,0
Boston,2,2:00,Q2,Q2,0
Boston,3,3:00,Q2,Q2,0
Boston,4,4:00,Q2,Q2,1.912897357
Boston,5,5:00,Q2,Q2,0.902488502
Boston,6,6:00,Q2,Q2,0.32638108
Boston,7,7:00,Q2,Q2,0.316396459
Boston,8,8:00,Q2,Q2,1.634070517
Boston,9,9:00,Q2,Q2,4.263295699
Boston,10,10:00,Q2,Q2,0.783454018
Boston,11,11:00,Q2,Q2,5.384795113
Boston,12,12:00,Q2,Q2,3.342540207
Boston,13,13:00,Q2,Q2,1.00862354
Boston,14,14:00,Q2,Q2,0
Boston,15,15:00,Q2,Q2,0.472092832
Boston,16,16:00,Q2,Q2,3.143679754
Boston,17,17:00,Q2,Q2,3.911925412
Boston,18,18:00,Q2,Q2,2.882514341
Boston,19,19:00,Q2,Q2,1.256775336
Boston,20,20:00,Q2,Q2,0
Boston,21,21:00,Q2,Q2,0
Boston,22,22:00,Q2,Q2,0
Boston,23,23:00,Q2,Q2,0
Boston,0,0:00,Q3,Q3,0
Boston,1,1:00,Q3,Q3,0
Boston,2,2:00,Q3,Q3,0
Boston,3,3:00,Q3,Q3,0
Boston,4,4:00,Q3,Q3,0
Boston,5,5:00,Q3,Q3,0.377753292
Boston,6,6:00,Q3,Q3,1.287489983
Boston,7,7:00,Q3,Q3,1.624741389
Boston,8,8:00,Q3,Q3,3.183445212
Boston,9,9:00,Q3,Q3,1.087440547
Boston,10,10:00,Q3,Q3,0.66040563
Boston,11,11:00,Q3,Q3,1.012969704
Boston,12,12:00,Q3,Q3,0.154281407
Boston,13,13:00,Q3,Q3,0
Boston,14,14:00,Q3,Q3,0.233772458
Boston,15,15:00,Q3,Q3,1.610835631
Boston,16,16:00,Q3,Q3,1.196762913
Boston,17,17:00,Q3,Q3,0.046234152
Boston,18,18:00,Q3,Q3,3.481755182
Boston,19,19:00,Q3,Q3,1.914162924
Boston,20,20:00,Q3,Q3,1.550222452
Boston,21,21:00,Q3,Q3,1.247478897
Boston,22,22:00,Q3,Q3,0
Boston,23,23:00,Q3,Q3,0
Boston,0,0:00,Q4,Q4 (High),0
Boston,1,1:00,Q4,Q4 (High),0
Boston,2,2:00,Q4,Q4 (High),0
Boston,3,3:00,Q4,Q4 (High),0
Boston,4,4:00,Q4,Q4 (High),0
Boston,5,5:00,Q4,Q4 (High),0.406152527
Boston,6,6:00,Q4,Q4 (High),1.110597528
Boston,7,7:00,Q4,Q4 (High),0.427131752
Boston,8,8:00,Q4,Q4 (High),1.114916099
Boston,9,9:00,Q4,Q4 (High),1.421481814
Boston,10,10:00,Q4,Q4 (High),1.46549801
Boston,11,11:00,Q4,Q4 (High),1.416929351
Boston,12,12:00,Q4,Q4 (High),1.548343062
Boston,13,13:00,Q4,Q4 (High),0.41904529
Boston,14,14:00,Q4,Q4 (High),0.181534367
Boston,15,15:00,Q4,Q4 (High),0.078062037
Boston,16,16:00,Q4,Q4 (High),0.961922952
Boston,17,17:00,Q4,Q4 (High),1.882549579
Boston,18,18:00,Q4,Q4 (High),2.366220556
Boston,19,19:00,Q4,Q4 (High),1.515711342
Boston,20,20:00,Q4,Q4 (High),1.398637548
Boston,21,21:00,Q4,Q4 (High),0.321797709
Boston,22,22:00,Q4,Q4 (High),0
