poi_type,hour,time,ave_num_uv_hour
Food & Coffee,6,6:00,10.2
Food & Coffee,7,7:00,9.8
Food & Coffee,8,8:00,11.2
Food & Coffee,9,9:00,12.9
Food & Coffee,10,10:00,13.8
Food & Coffee,11,11:00,15.6
Food & Coffee,12,12:00,20.7
Food & Coffee,13,13:00,20.2
Food & Coffee,14,14:00,17.3
Food & Coffee,15,15:00,16
Food & Coffee,16,16:00,16.1
Food & Coffee,17,17:00,18.7
Food & Coffee,18,18:00,22.7
Food & Coffee,19,19:00,23.8
Food & Coffee,20,20:00,20.9
Food & Coffee,21,21:00,17.7
Food & Coffee,22,22:00,15.5
Food & Coffee,23,23:00,14.6
Grocery,7,7:00,8.7
Grocery,8,8:00,9.7
Grocery,9,9:00,11.5
Grocery,10,10:00,13.9
Grocery,11,11:00,16.7
Grocery,12,12:00,19.1
Grocery,13,13:00,19.6
Grocery,14,14:00,19.3
Grocery,15,15:00,19.6
Grocery,16,16:00,20.3
Grocery,17,17:00,20.5
Grocery,18,18:00,19.5
Grocery,19,19:00,16.9
Grocery,20,20:00,14.1
Grocery,21,21:00,11.7
Gym,6,6:00,9.2
Gym,7,7:00,9.7
Gym,8,8:00,12
Gym,9,9:00,14.3
Gym,10,10:00,15.2
Gym,11,11:00,15.4
Gym,12,12:00,15.5
Gym,13,13:00,14.8
Gym,15,15:00,13.9
Gym,16,16:00,14.9
Gym,17,17:00,16.1
Gym,18,18:00,17.3
Gym,19,19:00,16.8
