poi_type,city,term,estimate,std.error,std.error.x2,p.value,sig_levels,significance
Food & Coffee,Boston,Segregation,-0.161458562,0.043999323,0.087998646,0.000264738,***,Significant
Food & Coffee,Boston,# POIs per CBG,0.046734576,0.03635734,0.072714679,0.199143607,,Not Significant
Food & Coffee,Boston,# Unique visitors,-0.070295507,0.042673438,0.085346876,0.100025645,,Not Significant
Food & Coffee,Boston,Fraction of Q1 visitors,-0.237387995,0.041906156,0.083812312,2.2928361168619e-08,***,Significant
Food & Coffee,Boston,Fraction of Q4 visitors,0.331782625,0.039924199,0.079848399,6.46389067194383e-16,***,Significant
Food & Coffee,Chicago,Segregation,-0.166453231,0.014697227,0.029394454,2.73655613415199e-29,***,Significant
Food & Coffee,Chicago,# POIs per CBG,0.026688819,0.013078854,0.026157707,0.041355491,*,Significant
Food & Coffee,Chicago,# Unique visitors,-0.009663123,0.013378137,0.026756275,0.470148094,,Not Significant
Food & Coffee,Chicago,Fraction of Q1 visitors,-0.413979102,0.016410433,0.032820865,2.09178659113729e-130,***,Significant
Food & Coffee,Chicago,Fraction of Q4 visitors,0.171357796,0.01590854,0.03181708,1.09015485985915e-26,***,Significant
Food & Coffee,Dallas,Segregation,-0.139971681,0.014108779,0.028217558,6.26830592629792e-23,***,Significant
Food & Coffee,Dallas,# POIs per CBG,0.001693294,0.012740548,0.025481096,0.894274581,,Not Significant
Food & Coffee,Dallas,# Unique visitors,-0.017078762,0.013110506,0.026221012,0.192761206,,Not Significant
Food & Coffee,Dallas,Fraction of Q1 visitors,-0.353039687,0.01660107,0.03320214,4.40687344097396e-95,***,Significant
Food & Coffee,Dallas,Fraction of Q4 visitors,0.295080883,0.015882362,0.031764724,6.38069402380305e-74,***,Significant
Food & Coffee,Detroit,Segregation,-0.16290828,0.02637074,0.052741481,8.59950672333863e-10,***,Significant
Food & Coffee,Detroit,# POIs per CBG,-0.050924615,0.023783286,0.047566573,0.032437198,*,Significant
Food & Coffee,Detroit,# Unique visitors,-0.006857661,0.024365816,0.048731632,0.778411505,,Not Significant
Food & Coffee,Detroit,Fraction of Q1 visitors,-0.530945015,0.030144063,0.060288125,1.1591974271313e-62,***,Significant
Food & Coffee,Detroit,Fraction of Q4 visitors,-0.059862965,0.02897186,0.057943719,0.038995851,*,Significant
Food & Coffee,Los Angeles,Segregation,-0.201443181,0.011892602,0.023785205,8.31072795493094e-63,***,Significant
Food & Coffee,Los Angeles,# POIs per CBG,0.006692547,0.010774088,0.021548175,0.534512568,,Not Significant
Food & Coffee,Los Angeles,# Unique visitors,-0.068909949,0.011215338,0.022430675,8.58610614391223e-10,***,Significant
Food & Coffee,Los Angeles,Fraction of Q1 visitors,-0.465870196,0.014321991,0.028643982,8.53196268260667e-213,***,Significant
Food & Coffee,Los Angeles,Fraction of Q4 visitors,0.127183943,0.013896459,0.027792917,7.65345242295317e-20,***,Significant
Food & Coffee,Miami,Segregation,-0.159110806,0.016811327,0.033622654,5.41236013353569e-21,***,Significant
Food & Coffee,Miami,# POIs per CBG,0.004169153,0.015132767,0.030265533,0.782945418,,Not Significant
Food & Coffee,Miami,# Unique visitors,-0.017971305,0.016046111,0.032092223,0.262803825,,Not Significant
Food & Coffee,Miami,Fraction of Q1 visitors,-0.303813499,0.019014868,0.038029736,2.02597415470675e-55,***,Significant
Food & Coffee,Miami,Fraction of Q4 visitors,0.234076743,0.018341929,0.036683859,1.89893375597117e-36,***,Significant
Food & Coffee,New York,Segregation,-0.180849197,0.015623155,0.03124631,1.76704597210391e-30,***,Significant
Food & Coffee,New York,# POIs per CBG,0.003467272,0.014022608,0.028045215,0.804718036,,Not Significant
Food & Coffee,New York,# Unique visitors,0.019252394,0.014615787,0.029231573,0.187840088,,Not Significant
Food & Coffee,New York,Fraction of Q1 visitors,-0.450744599,0.016214109,0.032428217,5.60004623459545e-155,***,Significant
Food & Coffee,New York,Fraction of Q4 visitors,0.08683732,0.016031266,0.032062532,6.44582681222557e-08,***,Significant
Food & Coffee,Philadelphia,Segregation,-0.149293693,0.025919545,0.05183909,1.05629761646078e-08,***,Significant
Food & Coffee,Philadelphia,# POIs per CBG,0.006810337,0.022810772,0.045621543,0.765326519,,Not Significant
Food & Coffee,Philadelphia,# Unique visitors,0.005491819,0.024366743,0.048733485,0.821718805,,Not Significant
Food & Coffee,Philadelphia,Fraction of Q1 visitors,-0.515596103,0.028411325,0.056822649,1.40981830146957e-65,***,Significant
Food & Coffee,Philadelphia,Fraction of Q4 visitors,0.085283207,0.027337905,0.05467581,0.001852023,**,Significant
Food & Coffee,San Francisco,Segregation,-0.207764215,0.022871666,0.045743333,4.20891016979042e-19,***,Significant
